;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
RAVENNA;CONSELICE;1.178;1.136;531;612;785;716;486;3.802;4;9.250
RAVENNA;COTIGNOLA;863;937;476;584;704;710;467;2.129;4;6.874
RAVENNA;FAENZA;6.877;7.192;3.534;4.013;5.641;5.692;4.400;17.435;21;54.805
RAVENNA;FUSIGNANO;925;964;504;518;648;653;411;2.662;2;7.287
RAVENNA;LUGO;3.774;3.887;1.910;2.270;2.876;2.793;1.971;10.319;15;29.815
RAVENNA;MASSA LOMBARDA;1.182;1.113;552;676;798;789;518;3.312;4;8.944
RAVENNA;NON DEFINITO RA;-;-;-;-;-;-;-;46;-;46
RAVENNA;RAVENNA;18.587;19.684;10.442;11.754;15.106;15.534;11.550;46.582;60;149.299
RAVENNA;RIOLO TERME;671;678;364;360;475;420;307;1.911;3;5.189
RAVENNA;RUSSI;1.487;1.449;719;859;1.148;1.119;797;3.658;4;11.240
RAVENNA;SANT'AGATA SUL SANTERNO;361;398;205;244;312;292;218;906;-;2.936
RAVENNA;SOLAROLO;500;475;249;303;359;386;271;1.339;2;3.884
REGGIO EMILIA;ALBINEA;889;986;598;759;921;907;729;2.361;2;8.152
REGGIO EMILIA;BAGNOLO IN PIANO;1.067;992;558;604;835;762;616;2.377;3;7.814
REGGIO EMILIA;BAISO;393;370;225;244;350;306;217;1.199;1;3.305
REGGIO EMILIA;BIBBIANO;1.273;1.333;758;834;982;959;752;3.456;8;10.355
REGGIO EMILIA;BORETTO;557;516;327;372;525;471;319;1.533;-;4.620
REGGIO EMILIA;BRESCELLO;636;643;374;430;602;636;626;1.793;-;5.740
REGGIO EMILIA;CADELBOSCO DI SOPRA;1.216;1.109;606;764;1.043;950;688;3.083;5;9.464
REGGIO EMILIA;CAMPAGNOLA EMILIA;525;599;331;360;494;493;337;1.490;-;4.629
REGGIO EMILIA;CAMPEGINE;518;544;276;378;433;442;317;1.355;2;4.265
REGGIO EMILIA;CANOSSA;481;441;222;235;341;343;236;1.473;-;3.772
REGGIO EMILIA;CARPINETI;504;522;263;284;415;362;258;1.627;2;4.237
REGGIO EMILIA;CASALGRANDE;2.189;2.112;1.232;1.531;2.212;1.972;1.271;5.097;7;17.623
REGGIO EMILIA;CASINA;587;518;289;339;362;398;256;1.721;1;4.471
REGGIO EMILIA;CASTELLARANO;1.664;1.668;995;1.220;1.851;1.598;1.121;4.052;4;14.173
REGGIO EMILIA;CASTELNOVO DI SOTTO;924;888;479;574;714;751;476;2.436;2;7.244
REGGIO EMILIA;CASTELNOVO NE' MONTI;1.271;1.343;678;829;1.031;982;649;3.562;2;10.347
REGGIO EMILIA;CAVRIAGO;1.169;1.083;565;763;999;954;593;2.596;1;8.723
REGGIO EMILIA;CORREGGIO;2.642;2.737;1.590;1.837;2.368;2.261;1.682;6.691;10;21.818
REGGIO EMILIA;FABBRICO;658;607;327;459;507;506;387;1.326;1;4.778
REGGIO EMILIA;GATTATICO;632;680;349;425;586;607;439;1.790;3;5.511
REGGIO EMILIA;GUALTIERI;695;640;385;449;589;531;359;2.083;4;5.735
REGGIO EMILIA;GUASTALLA;1.397;1.507;915;1.090;1.359;1.284;882;3.528;3;11.965
REGGIO EMILIA;LUZZARA;871;870;503;537;736;722;508;2.119;6;6.872
REGGIO EMILIA;MONTECCHIO EMILIA;1.127;1.212;630;786;1.050;977;661;2.969;7;9.419
REGGIO EMILIA;NON DEFINITO RE;-;-;1;-;-;-;-;11;-;12
REGGIO EMILIA;NOVELLARA;1.455;1.480;809;881;1.138;1.093;700;3.570;2;11.128
REGGIO EMILIA;POVIGLIO;840;791;393;523;659;597;409;2.494;3;6.709
REGGIO EMILIA;QUATTRO CASTELLA;1.426;1.530;889;1.028;1.337;1.373;983;3.469;5;12.040
REGGIO EMILIA;REGGIOLO;954;973;522;629;845;855;531;2.272;1;7.582
REGGIO EMILIA;REGGIO NELL'EMILIA;18.630;18.803;10.075;12.304;16.110;16.360;12.262;41.880;74;146.498
REGGIO EMILIA;RIO SALICETO;698;660;348;447;610;534;360;1.572;3;5.232
REGGIO EMILIA;ROLO;368;358;222;274;346;295;220;885;1;2.969
REGGIO EMILIA;RUBIERA;1.534;1.691;918;1.165;1.442;1.537;1.027;3.288;3;12.605
REGGIO EMILIA;SAN MARTINO IN RIO;899;881;531;599;733;765;500;1.978;3;6.889
REGGIO EMILIA;SAN POLO D'ENZA;821;745;375;437;556;524;337;2.215;3;6.013
